Message Number,Time Offset (ms),Type,ID (hex),Data Length,Data Bytes,Total Energy Consumption (kJ)
8777,2950.699951,0,07EC,8,25.77 %
8833,2967.699951,0,07EC,8,25.77 %
8842,2970.699951,0,07EC,8,25.77 %
8868,2981.500000,0,07EC,8,25.77 %
8898,2991.000000,0,07EC,8,25.77 %
8930,3002.199951,0,07EC,8,25.76 %
8960,3011.000000,0,07EC,8,25.76 %
8992,3022.800049,0,07EC,8,25.76 %
9022,3031.000000,0,07EC,8,25.76 %
9044,3040.699951,0,07EC,8,25.76 %
9073,3050.699951,0,07EC,8,25.76 %
9136,3068.899902,0,07EC,8,25.76 %
9142,3071.100098,0,07EC,8,25.76 %
9166,3080.800049,0,07EC,8,25.76 %
9196,3090.699951,0,07EC,8,25.76 %
9229,3102.800049,0,07EC,8,25.75 %
9261,3110.899902,0,07EC,8,25.75 %
9292,3122.699951,0,07EC,8,25.75 %
9321,3130.699951,0,07EC,8,25.75 %
9433,3168.199951,0,07E8-0D,8,8 km/h
9465,3181.000000,0,07EC,8,25.75 %
9495,3190.800049,0,07EC,8,25.75 %
9525,3202.199951,0,07EC,8,25.75 %
9555,3210.699951,0,07EC,8,25.75 %
9590,3222.899902,0,07EC,8,25.75 %
9631,3233.100098,0,07EC,8,25.75 %
9652,3241.000000,0,07EC,8,25.75 %
9681,3250.800049,0,07EC,8,25.75 %
9745,3269.800049,0,07EC,8,25.75 %
9835,3302.199951,0,07EC,8,25.74 %
9865,3310.800049,0,07EC,8,25.74 %
9895,3322.000000,0,07EC,8,25.74 %
9927,3331.399902,0,07EC,8,25.74 %
9951,3340.800049,0,07EC,8,25.74 %
9981,3350.699951,0,07EC,8,25.74 %
10068,3380.800049,0,07EC,8,25.74 %
10099,3390.800049,0,07EC,8,25.74 %
10129,3402.600098,0,07EC,8,25.73 %
10158,3410.800049,0,07EC,8,25.73 %
10327,3468.300049,0,07E8-0D,8,9 km/h
10332,3469.500000,0,07EC,8,25.73 %
10422,3502.199951,0,07EC,8,25.72 %
10453,3510.800049,0,07EC,8,25.72 %
10481,3522.000000,0,07EC,8,25.72 %
10512,3530.699951,0,07EC,8,25.72 %
10537,3541.000000,0,07EC,8,25.72 %
10567,3550.699951,0,07EC,8,25.72 %
10633,3570.199951,0,07EC,8,25.72 %
10691,3590.800049,0,07EC,8,25.72 %
10723,3602.199951,0,07EC,8,25.72 %
10750,3610.699951,0,07EC,8,25.72 %
10775,3620.800049,0,07EC,8,25.72 %
10813,3630.800049,0,07EC,8,25.72 %
10840,3640.699951,0,07EC,8,25.72 %
10871,3650.800049,0,07EC,8,25.72 %
10934,3669.800049,0,07EC,8,25.72 %
10940,3671.100098,0,07EC,8,25.72 %
10965,3680.800049,0,07EC,8,25.72 %
10994,3690.699951,0,07EC,8,25.72 %
11026,3702.199951,0,07EC,8,25.71 %
11057,3710.800049,0,07EC,8,25.71 %
11081,3721.000000,0,07EC,8,25.71 %
11118,3731.199951,0,07EC,8,25.71 %
11143,3740.800049,0,07EC,8,25.71 %
11227,3768.000000,0,07E8-0D,8,9 km/h
11317,3802.199951,0,07EC,8,25.70 %
11347,3810.699951,0,07EC,8,25.70 %
11528,3870.399902,0,07EC,8,25.70 %
11581,3890.699951,0,07EC,8,25.70 %
11613,3902.399902,0,07EC,8,25.69 %
11643,3910.800049,0,07EC,8,25.69 %
11667,3920.699951,0,07EC,8,25.69 %
11701,3931.000000,0,07EC,8,25.69 %
11725,3940.699951,0,07EC,8,25.69 %
11756,3950.800049,0,07EC,8,25.69 %
11816,3968.899902,0,07EC,8,25.69 %
11821,3970.899902,0,07EC,8,25.69 %
11851,3981.699951,0,07EC,8,25.69 %
11878,3990.699951,0,07EC,8,25.69 %
11910,4002.399902,0,07EC,8,25.68 %
11937,4010.800049,0,07EC,8,25.68 %
11963,4021.199951,0,07EC,8,25.68 %
11998,4030.899902,0,07EC,8,25.68 %
12022,4040.800049,0,07EC,8,25.68 %
12050,4050.699951,0,07EC,8,25.68 %
12110,4068.699951,0,07E8-0D,8,10 km/h
12113,4069.000000,0,07EC,8,25.68 %
12144,4081.000000,0,07EC,8,25.68 %
12205,4102.700195,0,07EC,8,25.66 %
12237,4111.100098,0,07EC,8,25.66 %
12263,4121.000000,0,07EC,8,25.66 %
